club,elo,date
Man City,1832.41625977,2016-03-13
Man City,1832.41625977,2016-03-14
Man City,1832.80297852,2016-03-16
Man City,1832.64318848,2016-03-17
Man City,1831.26599121,2016-03-18
Man City,1820.05627441,2016-03-21
Man City,1829.42578125,2016-04-03
Man City,1829.42578125,2016-04-06
Man City,1836.13598633,2016-04-07
Man City,1837.49072266,2016-04-08
Man City,1840.51257324,2016-04-10
Man City,1851.29455566,2016-04-13
Man City,1854.96044922,2016-04-15
Man City,1869.17150879,2016-04-17
Man City,1869.17150879,2016-04-18
Man City,1863.18481445,2016-04-20
Man City,1869.44470215,2016-04-24
Man City,1870.8795166,2016-04-27
Man City,1869.50463867,2016-04-29
Man City,1855.00646973,2016-05-02
Man City,1849.60705566,2016-05-05
Man City,1857.03625488,2016-05-06
Man City,1855.11364746,2016-05-09
Man City,1851.8918457,2016-05-16
Man City,1848.22399902,2016-05-19
Man City,1847.16027832,2016-07-29
Man City,1848.48181152,2016-08-05
Man City,1851.1484375,2016-08-14
Man City,1856.44348145,2016-08-17
Man City,1856.45666504,2016-08-19
Man City,1865.4251709,2016-08-21
Man City,1865.46582031,2016-08-25
Man City,1858.38330078,2016-08-26
Man City,1862.78137207,2016-08-29
Man City,1870.85949707,2016-09-11
Man City,1872.01782227,2016-09-14
Man City,1881.78344727,2016-09-15
Man City,1880.14160156,2016-09-16
Man City,1880.14160156,2016-09-17
Man City,1883.76000977,2016-09-18
Man City,1883.76000977,2016-09-21
Man City,1883.76000977,2016-09-24
Man City,1889.6394043,2016-09-25
Man City,1894.10351562,2016-09-28
Man City,1886.98669434,2016-09-29
Man City,1886.4309082,2016-09-30
Man City,1874.78149414,2016-10-03
Man City,1869.26574707,2016-10-16
Man City,1870.65710449,2016-10-19
Man City,1864.87646484,2016-10-20
Man City,1863.57836914,2016-10-21
Man City,1859.50646973,2016-10-24
Man City,1868.17871094,2016-10-30
Man City,1887.80993652,2016-11-02
Man City,1883.45397949,2016-11-03
Man City,1881.63195801,2016-11-04
Man City,1874.12878418,2016-11-06
Man City,1877.59436035,2016-11-20
Man City,1876.39221191,2016-11-23
Man City,1873.54919434,2016-11-24
Man City,1872.35266113,2016-11-25
Man City,1876.07263184,2016-11-27
Man City,1861.6763916,2016-12-04
Man City,1854.22497559,2016-12-07
Man City,1851.55639648,2016-12-08
Man City,1851.84716797,2016-12-09
Man City,1838.42370605,2016-12-11
Man City,1841.7833252,2016-12-15
Man City,1848.66662598,2016-12-19
Man City,1848.66662598,2016-12-22
Man City,1853.65991211,2016-12-27
Man City,1847.04626465,2017-01-01
Man City,1849.45422363,2017-01-03
Man City,1849.45422363,2017-01-15
Man City,1829.72473145,2017-01-16
Man City,1828.37658691,2017-01-22
Man City,1840.17602539,2017-02-02
Man City,1842.30700684,2017-02-06
Man City,1842.30700684,2017-02-12
Man City,1847.7512207,2017-02-14
Man City,1847.7512207,2017-02-15
Man City,1844.94836426,2017-02-16
Man City,1846.06542969,2017-02-17
Man City,1855.54406738,2017-02-22
Man City,1856.26184082,2017-02-23
Man City,1851.20422363,2017-02-24
Man City,1851.20422363,2017-03-03
Man City,1856.14685059,2017-03-06
Man City,1855.13330078,2017-03-08
Man City,1848.96057129,2017-03-09
Man City,1849.47729492,2017-03-10
Man City,1855.62817383,2017-03-15
Man City,1834.67248535,2017-03-16
Man City,1836.15563965,2017-03-17
Man City,1833.54443359,2017-03-20
Man City,1835.06860352,2017-04-03
Man City,1829.90551758,2017-04-06
Man City,1832.51647949,2017-04-09
Man City,1832.10717773,2017-04-13
Man City,1832.58459473,2017-04-14
Man City,1844.69567871,2017-04-16
Man City,1844.15966797,2017-04-19
Man City,1845.62158203,2017-04-21
Man City,1843.53808594,2017-04-28
Man City,1838.30554199,2017-05-01
Man City,1838.30554199,2017-05-04
Man City,1840.07897949,2017-05-05
Man City,1845.06323242,2017-05-07
Man City,1845.15405273,2017-05-12
Man City,1848.83984375,2017-05-14
Man City,1848.83984375,2017-05-15
Man City,1852.20910645,2017-05-17
Man City,1861.00488281,2017-05-22
Man City,1863.7644043,2017-05-25
Man City,1863.7644043,2017-05-29
Man City,1863.7644043,2017-06-04
Man City,1863.78381348,2017-07-28
Man City,1864.11437988,2017-08-04
Man City,1868.83850098,2017-08-13
Man City,1871.4666748,2017-08-16
Man City,1872.66186523,2017-08-18
Man City,1872.66186523,2017-08-20
Man City,1867.79724121,2017-08-22
Man City,1869.33044434,2017-08-24
Man City,1869.61193848,2017-08-25
Man City,1873.59436035,2017-08-27
Man City,1886.34472656,2017-09-10
Man City,1887.73449707,2017-09-13
Man City,1899.70458984,2017-09-14
Man City,1896.87548828,2017-09-15
Man City,1906.05102539,2017-09-17
Man City,1908.91906738,2017-09-24
Man City,1915.37475586,2017-09-27
Man City,1923.1270752,2017-09-28
Man City,1921.51635742,2017-09-29
Man City,1931.67260742,2017-10-01
Man City,1931.67260742,2017-10-02
Man City,1935.84436035,2017-10-15
Man City,1946.57226562,2017-10-18
Man City,1946.99475098,2017-10-19
Man City,1943.89770508,2017-10-20
Man City,1946.85595703,2017-10-22
Man City,1949.89501953,2017-10-29
Man City,1947.13330078,2017-11-01
Man City,1968.20983887,2017-11-02
Man City,1962.57202148,2017-11-03
Man City,1968.2869873,2017-11-06
Man City,1973.55883789,2017-11-19
Man City,1976.39221191,2017-11-22
Man City,1973.62133789,2017-11-23
Man City,1963.10339355,2017-11-24
Man City,1964.38659668,2017-11-27
Man City,1965.98327637,2017-11-30
Man City,1967.03637695,2017-12-04
Man City,1967.07800293,2017-12-06
Man City,1955.3449707,2017-12-07
Man City,1959.23071289,2017-12-08
Man City,1967.72009277,2017-12-11
Man City,1972.13964844,2017-12-14
Man City,1980.84436035,2017-12-17
Man City,1983.09594727,2017-12-24
Man City,1984.95458984,2017-12-28
Man City,1978.14465332,2018-01-01
Man City,1979.65087891,2018-01-03
Man City,1970.78015137,2018-01-15
Man City,1972.35571289,2018-01-21
Man City,1974.50012207,2018-02-01
Man City,1968.39257812,2018-02-04
Man City,1972.56713867,2018-02-11
Man City,1979.19641113,2018-02-14
Man City,1983.25146484,2018-02-15
Man City,1983.83813477,2018-02-16
Man City,1983.61535645,2018-02-21
Man City,1983.5255127,2018-02-22
Man City,1983.37524414,2018-02-23
Man City,1992.60498047,2018-03-02
Man City,1996.35742188,2018-03-05
Man City,1995.94372559,2018-03-07
Man City,1989.54016113,2018-03-08
Man City,1992.84631348,2018-03-09
Man City,1995.63464355,2018-03-13
Man City,1989.92541504,2018-03-14
Man City,1987.91870117,2018-03-15
Man City,1989.01428223,2018-03-16
Man City,1989.01428223,2018-03-18
Man City,1992.82580566,2018-04-01
Man City,1975.39660645,2018-04-05
Man City,1978.94189453,2018-04-06
Man City,1967.45666504,2018-04-08
Man City,1958.11328125,2018-04-11
Man City,1958.39257812,2018-04-13
Man City,1970.89819336,2018-04-15
Man City,1970.89819336,2018-04-19
Man City,1973.91943359,2018-04-23
Man City,1976.95605469,2018-04-25
Man City,1976.95605469,2018-04-26
Man City,1976.27832031,2018-04-27
Man City,1980.19958496,2018-04-30
Man City,1979.28356934,2018-05-03
Man City,1977.75964355,2018-05-04
Man City,1968.9239502,2018-05-07
Man City,1970.62634277,2018-05-10
Man City,1970.62634277,2018-05-13
Man City,1973.25927734,2018-05-14
Man City,1970.73095703,2018-05-27
Man City,1970.76184082,2018-07-27
Man City,1971.71435547,2018-08-03
Man City,1972.10217285,2018-08-10
Man City,1979.98925781,2018-08-13
Man City,1982.74780273,2018-08-17
Man City,1984.32409668,2018-08-20
Man City,1980.55212402,2018-08-24
Man City,1973.13903809,2018-08-26
Man City,1970.68762207,2018-08-31
Man City,1972.00842285,2018-09-02
Man City,1973.85632324,2018-09-16
Man City,1972.02807617,2018-09-19
Man City,1954.85302734,2018-09-20
Man City,1957.19177246,2018-09-21
Man City,1960.97033691,2018-09-23
Man City,1960.97033691,2018-09-29
Man City,1962.59899902,2018-09-30
Man City,1966.73352051,2018-10-03
Man City,1960.52893066,2018-10-04
Man City,1962.37060547,2018-10-05
Man City,1963.19543457,2018-10-08
Man City,1966.29431152,2018-10-21
Man City,1975.90844727,2018-10-24
Man City,1975.43103027,2018-10-25
Man City,1978.05847168,2018-10-26
Man City,1985.24914551,2018-10-30
Man City,1987.54077148,2018-11-05
Man City,1981.13085938,2018-11-07
Man City,1991.62634277,2018-11-08
Man City,1990.44665527,2018-11-09
Man City,1995.57446289,2018-11-12
Man City,2000.35839844,2018-11-25
Man City,1995.078125,2018-11-28
Man City,1994.24194336,2018-11-29
Man City,1996.85632324,2018-11-30
Man City,1998.69152832,2018-12-02
Man City,2000.63000488,2018-12-05
Man City,1986.22766113,2018-12-09
Man City,1989.39477539,2018-12-12
Man City,1988.86828613,2018-12-13
Man City,1986.67504883,2018-12-14
Man City,1988.90283203,2018-12-16
Man City,1972.9519043,2018-12-23
Man City,1959.54504395,2018-12-27
Man City,1962.64709473,2018-12-31
Man City,1969.01281738,2019-01-04
Man City,1969.01281738,2019-01-15
Man City,1969.01281738,2019-01-21
Man City,1969.01281738,2019-02-21
Man United,1809.46154785,2015-07-31
Man United,1806.99328613,2015-08-07
Man United,1811.75866699,2015-08-09
Man United,1815.64880371,2015-08-15
Man United,1815.64880371,2015-08-16
Man United,1821.38867188,2015-08-19
Man United,1819.98486328,2015-08-21
Man United,1813.20043945,2015-08-23
Man United,1820.09692383,2015-08-27
Man United,1815.15942383,2015-08-28
Man United,1804.37402344,2015-08-31
Man United,1811.99523926,2015-09-13
Man United,1795.54626465,2015-09-16
Man United,1792.5,2015-09-17
Man United,1793.57226562,2015-09-18
Man United,1799.65087891,2015-09-21
Man United,1799.65087891,2015-09-24
Man United,1803.55395508,2015-09-27
Man United,1797.07092285,2015-09-30
Man United,1808.40869141,2015-10-01
Man United,1806.90100098,2015-10-02
Man United,1806.90100098,2015-10-04
Man United,1794.50939941,2015-10-05
Man United,1806.91894531,2015-10-18
Man United,1806.91894531,2015-10-19
Man United,1812.23254395,2015-10-21
Man United,1816.90270996,2015-10-22
Man United,1811.84594727,2015-10-23
Man United,1811.84594727,2015-10-25
Man United,1812.39135742,2015-10-26
Man United,1808.86828613,2015-11-01
Man United,1820.88647461,2015-11-04
Man United,1820.43237305,2015-11-05
Man United,1823.59997559,2015-11-06
Man United,1827.71044922,2015-11-08
Man United,1827.71044922,2015-11-21
Man United,1831.50134277,2015-11-22
Man United,1834.48156738,2015-11-25
Man United,1824.7175293,2015-11-26
Man United,1826.83752441,2015-11-27
Man United,1824.06665039,2015-11-29
Man United,1824.06665039,2015-11-30
Man United,1818.3671875,2015-12-06
Man United,1811.9510498,2015-12-09
Man United,1818.74731445,2015-12-10
Man United,1819.59631348,2015-12-11
Man United,1806.83691406,2015-12-13
Man United,1806.83691406,2015-12-14
Man United,1792.75292969,2015-12-20
Man United,1792.75292969,2015-12-21
Man United,1778.92834473,2015-12-27
Man United,1777.79833984,2015-12-29
Man United,1777.79833984,2015-12-31
Man United,1781.61999512,2016-01-03
Man United,1781.61999512,2016-01-10
Man United,1777.68029785,2016-01-13
Man United,1786.02929688,2016-01-18
Man United,1774.42297363,2016-01-24
Man United,1774.42297363,2016-01-25
Man United,1774.42297363,2016-01-30
Man United,1774.42297363,2016-02-01
Man United,1783.29077148,2016-02-03
Man United,1785.40734863,2016-02-08
Man United,1773.62060547,2016-02-14
Man United,1773.62060547,2016-02-15
Man United,1773.03479004,2016-02-17
Man United,1767.33679199,2016-02-19
Man United,1766.2130127,2016-02-24
Man United,1769.79589844,2016-02-25
Man United,1787.74853516,2016-02-26
Man United,1796.00268555,2016-02-29
Man United,1799.63085938,2016-03-03
Man United,1799.63085938,2016-03-06
Man United,1789.26318359,2016-03-07
Man United,1786.71911621,2016-03-10
Man United,1771.1340332,2016-03-11
Man United,1771.1340332,2016-03-14
Man United,1771.22717285,2016-03-16
